"S1025-028X2014000200006-cub","Validación del método de Ellman para la determinación de la concentración de grupos sulfhidrilosa muestras de la producción de la vacuna sintética contra el Haemophilus influenzae tipo b G de caballo antitoxina tetánica","Wood-Duque, Mayra, Hernández-Caso, Neyda, Delgado-Martínez, Iliana, Montañez-Valdez, Margela, Sánchez-García, Julio Cesar","Vaccimonitor; 23(2); 73-80","Vaccimonitor","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-028X2014000200006&lang=pt" 
"S1025-028X2014000200005-cub","Utilización del ácido caprílico en la obtención de inmunoglobulina G de caballo antitoxina tetánica","Miranda-Cruz, Antonio Roger, Sánchez-Artigas, Rolando, Otero-Alfaro, Oscar, Góngora-Amores, Walter, Cobos-Valdes, Dailín, Goya-Batista, Yordana, Balboa-González, Julio, Pérez-Martín, Oliver","Vaccimonitor; 23(2); 63-72","Vaccimonitor","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-028X2014000200005&lang=pt" 
"S1025-028X2014000200004-cub","Implementación de una reacción en cadena de la polimerasa cuantitativa para la detección de Mycoplasmagenitalium","Mondeja-Rodríguez, Brian Arturo, Skov-Jensen, Jørgen, Rodríguez-Preval, Nadia María, Rodríguez-González, Islay, Fernández-Molina, Carmen","Vaccimonitor; 23(2); 57-62","Vaccimonitor","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-028X2014000200004&lang=pt" 
"S1025-028X2014000200003-cub","Evaluación de cuatro métodos de extracción del ADN de Histoplasmacapsulatum y su uso en reacciones de PCR","Monroy-Vaca, Ernesto Xavier, Fernández-Andreu, Carlos Manuel, Díaz-Rodríguez, Raúl, Martínez-Machín, Gerardo, Illnait-Zaragozí, María Teresa, Perurena-Lancha, Mayda","Vaccimonitor; 23(2); 49-56","Vaccimonitor","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-028X2014000200003&lang=pt" 
"S1025-028X2014000200002-cub","Estudio bibliométrico de la producción científica de VacciMonitor (2000-2013)","Arencibia-Arrebola, Daniel Francisco, Betancourt-López, Virginia, González-Alfalla, Norka, Puig-Fernández, Yamira, Biart-La Rosa, Orquídea, Fernández-Sanguinety, Danilo Felipe, Ochoa-Azze, Rolando Felipe","Vaccimonitor; 23(2); 41-48","Vaccimonitor","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-028X2014000200002&lang=pt" 
"S1025-028X2014000200001-cub","Los linfocitos Th1 no son exclusivos de la inmunidad celular","Ochoa Azze, Rolando Felipe","Vaccimonitor; 23(2); 37-40","Vaccimonitor","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-028X2014000200001&lang=pt" 
"S0719-01072014000200010-chl","Tabaquismo y su efecto en los tejidos periodontales","Rojas, Javier Patricio, Rojas, LA, Hidalgo, R","Revista clínica de periodoncia, implantología y rehabilitación oral; 7(2); 108-113","Revista clínica de periodoncia, implantología y rehabilitación oral","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-01072014000200010&lang=pt" 
"S0719-01072014000200005-chl","Necesidad de tratamiento periodontal e higiene oral en adolescentes de 12 años de Llanquihue","Lagos Lagos, Ana, Juárez Membreño, Israel Antonio, Iglesias Gómez, Manuel","Revista clínica de periodoncia, implantología y rehabilitación oral; 7(2); 72-75","Revista clínica de periodoncia, implantología y rehabilitación oral","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-01072014000200005&lang=pt" 
"S0719-01072014000200004-chl","Presencia de genes de virulencia gtfB y spaP en Streptococcus mutans aislados desde saliva y su relación con el índice COPD y ceod","Vásquez Ibarra, Sonia, Lobos Gilabert, Olga, Padilla Espinoza, Carlos","Revista clínica de periodoncia, implantología y rehabilitación oral; 7(2); 65-71","Revista clínica de periodoncia, implantología y rehabilitación oral","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-01072014000200004&lang=pt" 
"S0719-01072014000200007-chl","Prevalencia de los genotipos fimA II y fimA IV de Porphyromonas gingivalis en un grupo de mujeres mexicanas con diabetes gestacional en la región centro de México","García-Reyna, Roberto Arturo, Terrones Saldivar, María del Carmen, Malacara-Rosas, Angélica María, Zaragoza-Velásquez, Nicolás, Rosas-Cabral, Alejandro, Gutiérrez Campos, Rafael","Revista clínica de periodoncia, implantología y rehabilitación oral; 7(2); 93-100","Revista clínica de periodoncia, implantología y rehabilitación oral","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-01072014000200007&lang=pt" 
"S0719-01072014000200006-chl","Perfil bibliométrico de revistas odontológicas de Chile del período 2002-2012","Uribe, Sergio E, Uribe, Daniela S, Schuman, Wladimir A","Revista clínica de periodoncia, implantología y rehabilitación oral; 7(2); 76-84","Revista clínica de periodoncia, implantología y rehabilitación oral","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-01072014000200006&lang=pt" 
"S0719-01072014000200001-chl","Análisis descriptivo morfoestructural mediante microscopía electrónica de barrido del efecto sobre el esmalte de la técnica de grabado ácido convencional y una nueva técnica de grabado ácido aplicada en 2 tiempos operatorios","Bader Mattar, Marcelo, Retamal, Josefa, Retamal, Asunción Fe","Revista clínica de periodoncia, implantología y rehabilitación oral; 7(2); 47-52","Revista clínica de periodoncia, implantología y rehabilitación oral","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-01072014000200001&lang=pt" 
"S0719-01072014000200003-chl","Evaluación clínica de los tejidos periodontales después del aumento de corona clínica","Juárez Membreño, Israel Antonio, Lagos Lagos, Ana, Méndez Méndez, José, Montanares Torres, Hans","Revista clínica de periodoncia, implantología y rehabilitación oral; 7(2); 59-64","Revista clínica de periodoncia, implantología y rehabilitación oral","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-01072014000200003&lang=pt" 
"S0719-01072014000200002-chl","Confocal laser microscopy analysis of resin infiltration in fluorotic teeth","Pérez, Romina, Quijada, Valentina, Uribe, Sergio","Revista clínica de periodoncia, implantología y rehabilitación oral; 7(2); 53-58","Revista clínica de periodoncia, implantología y rehabilitación oral","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-01072014000200002&lang=pt" 
"S0719-01072014000200009-chl","Desarrollo de sitio periimplantario mediante regeneración ósea guiada e injerto conectivo en el sector anterior","Nappe Abaroa, Christian Eduardo, Donoso Villela, Felipe Andrés, Montoya Bacigalupo, Carlos Alberto, Vergara Carmona, Alfonso Javier","Revista clínica de periodoncia, implantología y rehabilitación oral; 7(2); 101-107","Revista clínica de periodoncia, implantología y rehabilitación oral","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-01072014000200009&lang=pt" 
"S0719-01072014000200008-chl","Colocación de implantes y provisionalización inmediata en el sector estético: manejo quirúrgico y rehabilitador. Reporte de un caso clínico","Collins Calcaño, James R, García Pichardo, Sharina, Geraldino Chupani, Miguel A, Polanco Aquino, Rubén T","Revista clínica de periodoncia, implantología y rehabilitación oral; 7(2); 93-100","Revista clínica de periodoncia, implantología y rehabilitación oral","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-01072014000200008&lang=pt" 
"S1853-001X2014000100004-arg","","Sardenberg, Cecilia M. B.","Mora (Buenos Aires); 20(1); -","Mora (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2014000100004&lang=pt" 
"S1853-001X2014000100005-arg","Los cuidados y sus máscaras: Retos para la antropología feminista","Comas d&#039;Argemir, Dolors","Mora (Buenos Aires); 20(1); -","Mora (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2014000100005&lang=pt" 
"S1853-001X2014000100006-arg","Logros y deudas de la democracia","Femenías, María Luisa","Mora (Buenos Aires); 20(1); -","Mora (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2014000100006&lang=pt" 
"S1853-001X2014000100007-arg","El collar de la escritura: Susana Zanetti en la memoria","Batticuore, Graciela","Mora (Buenos Aires); 20(1); -","Mora (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2014000100007&lang=pt" 
"S1853-001X2014000100002-arg","Releyendo y recordando a Michelle Zimbalist Rosaldo","Lamphere, Louise","Mora (Buenos Aires); 20(1); -","Mora (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2014000100002&lang=pt" 
"S1853-001X2014000100003-arg","Las mujeres en la época de oro de la antropología mexicana: 1935-1965","Goldsmith Connelly, Mary Rosaria, Sánchez Gómez, Martha Judith","Mora (Buenos Aires); 20(1); -","Mora (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2014000100003&lang=pt" 
"S0038-23532014000400008-sza","Opening dialogue and fostering collaboration: Different ways of knowing in fisheries research","Duggan, Greg L., Rogerson, Jennifer J.M., Green, Lesley J.F., Jarre, Astrid","South African Journal of Science; 110(7-8); 1-9","South African Journal of Science","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532014000400008&lang=pt" 
"S0038-23532014000400003-sza","South Africa - A global player in the battle against alien plant invasions","Lalla, Reshnee","South African Journal of Science; 110(7-8); 1-3","South African Journal of Science","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532014000400003&lang=pt" 
