"S1516-635X2016000200283-scl","Effect of Disinfectants and Pesticides Used in Poultry Houses on Beauveria Bassiana (Bals.) Vuill.fungus","Alves, LFA, Mamprim, AP, Formentini, MA, Martins, CC, Pinto, FG","Revista Brasileira de Ciência Avícola; 18(2); 283-290","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000200283&lang=pt" 
"S1516-635X2016000200319-scl","The Effect of Lycopene Addition on the Chemical Composition, Sensory Attributes and Physicochemical Properties of Steamed and Grilled Turkey Breast","Skiepko, N, Chwastowska-Siwiecka, I, Kondratowicz, J, Mikulski, D","Revista Brasileira de Ciência Avícola; 18(2); 319-330","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000200319&lang=pt" 
"S0717-75262016000300012-chl","Actividad sexual temprana y embarazo en la adolescencia: estado del arte","Mendoza Tascón, Luis Alfonso, Claros Benítez, Diana Isabel, Peñaranda Ospina, Claudia Bibiana","Revista chilena de obstetricia y ginecología; 81(3); 243-253","Revista chilena de obstetricia y ginecología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262016000300012&lang=pt" 
"S0718-93032016000100001-chl","Historias que cuentan los gitanismos en los Catauros de Fernando Ortiz","Buzek, Ivo","Boletín de filología; 51(1); 11-37","Boletín de filología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-93032016000100001&lang=pt" 
"S0718-93032016000100004-chl","Rodolfo Lenz: economías de la lengua y políticas de la lingüística","Ennis, Juan Antonio","Boletín de filología; 51(1); 117-145","Boletín de filología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-93032016000100004&lang=pt" 
"S0718-93032016000100006-chl","Vigencia del Diccionario Araucano de Félix de Augusta, a cien años de su publicación","Molineaux, Benjamín J","Boletín de filología; 51(1); 187-209","Boletín de filología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-93032016000100006&lang=pt" 
"S2175-91462016000200122-scl","Comparative Assessment of stabilised Polybutadiene Binder under Accelerated Ageing","Sbegue, Luiz Felipe Cannaval, Villar, Luciene Dias","Journal of Aerospace Technology and Management; 8(2); 122-129","Journal of Aerospace Technology and Management","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-91462016000200122&lang=pt" 
"S1690-32932016000100012-ven","REPRESENTACIONES ICONOGRÁFICAS DE LA EDUCACIÓN FÍSICA PARA LA CONSTRUCCIÓN SEMIOLÓGICA DE IMAGINARIOS COLECTIVOS DESDE EL DIÁLOGO DE SABERES","Meza, Fedor, Meza Palma, Daisy","Comunidad y Salud; 14(1); 79-88","Comunidad y Salud","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-32932016000100012&lang=pt" 
"S1690-32932016000100011-ven","REFLEXIONES EPISTEMOLÓGICAS Y SEMÁNTICAS ACERCA DEL BALONCESTO COMO ÁREA DEL CONOCIMIENTO PARA LA SALUD DESDE UNA VISIÓN HOLÍSTICA","","Comunidad y Salud; 14(1); 74-78","Comunidad y Salud","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-32932016000100011&lang=pt" 
"S1690-32932016000100003-ven","REQUERIMIENTO DE UNIDAD DE HEMODIÁLISIS EN EL EJE ESTE TERRITORIAL DEL ESTADO ARAGUA, VENEZUELA, 2014","Arraiz, Alirio, Blasco, Leomar, Garcia, Lioana, Gutierrez Gutiérrez, Maria, Sierra, Angel, Sarco Lira Parodi, Johny, Infranco, Maria, Navarrete, Luz Marina","Comunidad y Salud; 14(1); 10-18","Comunidad y Salud","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-32932016000100003&lang=pt" 
"S1690-32932016000100006-ven","ANÁLISIS DEL DISCURSO EN EL PROCESO DE MEDIACIÓN DEL CONOCIMIENTO DE LA EDUCACIÓN FÍSICA DESDE UNA VISIÓN COMPLEJA","Acosta Pereira, Rafael, Meza Palma, Daisy","Comunidad y Salud; 14(1); 33-40","Comunidad y Salud","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-32932016000100006&lang=pt" 
"S1690-32932016000100002-ven","RELACIÓN CLÍNICO-EPIDEMIOLÓGICA DE GIARDIASIS EN NIÑOS DE 0-12 AÑOS QUE ASISTEN A NÚCLEOS DE ATENCIÓN PRIMARIA. MUNICIPIO FRANCISCO LINARES ALCÁNTARA, ESTADO ARAGUA, VENEZUELA","Mata, Mariela, Parra, Andreina, Sánchez, Karen, Alviarez, Yenny, Pérez-Ybarra, Luis","Comunidad y Salud; 14(1); 03-09","Comunidad y Salud","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-32932016000100002&lang=pt" 
"S1690-32932016000100004-ven","PERFIL GENÉTICO HLA EN FAMILIAS VENEZOLANAS: ÚTIL HERRAMIENTA BIOMÉDICA","Zoghbi, Normig, Tassinari, Paolo, Fortes, María del Pilar, Paredes, María, Gámez, Ligia, Palacios, Marina","Comunidad y Salud; 14(1); 19-26","Comunidad y Salud","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-32932016000100004&lang=pt" 
"S2175-91462016000200203-scl","Formation Flight Control of Multi-UAV System with Communication Constraints","Xue, Ruibin, Cai, Gaohua","Journal of Aerospace Technology and Management; 8(2); 203-210","Journal of Aerospace Technology and Management","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-91462016000200203&lang=pt" 
