"S2007-09342014000200002-mex","Caracterización de frijol ayocote (Phaseolus coccineus L.) del Eje Neovolcánico y la Sierra Madre Oriental","Vargas Vázquez, Ma. Luisa Patricia, Muruaga Martínez, José Socorro, Mayek Pérez, Netzahualcóyotl, Pérez Guerrero, Alfredo, Ramírez-Sánchez, Susana E.","Revista mexicana de ciencias agrícolas; 5(2); 191-200","Revista mexicana de ciencias agrícolas","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342014000200002&lang=pt" 
"S2007-09342014000200003-mex","Uso de modelos de regresión para interpolar espacialmente la precipitación media mensual en la cuenca del río Conchos","Núñez López, Daniel, Treviño Garza, Eduardo Javier, Reyes Gómez, Víctor Manuel, Muñoz Robles, Carlos Alfonso, Aguirre Calderón, Oscar Alberto, Jiménez Pérez, Javier","Revista mexicana de ciencias agrícolas; 5(2); 201-213","Revista mexicana de ciencias agrícolas","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342014000200003&lang=pt" 
"S2007-09342014000200013-mex","Luminaria F2012, nueva variedad de trigo harinero para riego restringido en El Bajío","Solís Moya, Ernesto, Huerta Espino, Julio, Villaseñor Mir, Héctor Eduardo, Pérez Herrera, Patricia, Ramírez Ramírez, Aquilino, Ledesma Ramírez, Lourdes, De La Cruz González, María De Lourdes","Revista mexicana de ciencias agrícolas; 5(2); 325-330","Revista mexicana de ciencias agrícolas","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342014000200013&lang=pt" 
"S2007-09342014000200012-mex","Nematodos fitoparásitos asociados al cultivo de papaya (Carica papaya L.) en Colima, México","Martínez Gallardo, José Ángel, Díaz Valdés, Tomás, Allende Molar, Raúl, Ortiz Meza, José Alfonso, García Estrada, Raymundo Saúl, Carrillo Fasio, José Armando","Revista mexicana de ciencias agrícolas; 5(2); 317-323","Revista mexicana de ciencias agrícolas","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342014000200012&lang=pt" 
"S2007-09342014000200011-mex","Rendimiento, preferencia y calidad de enlatado de variedades de frijol pinto producidas en Durango, México","Rosales-Serna, Rigoberto, Nava-Berumen, Cynthia Adriana, González-Ramírez, Horacio, Herrera, Mayra D., Jiménez-Galindo, José Cruz, Ramírez-Cabral, Nadiezhda Y. Z., Osuna-Ceja, Esteban Salvador","Revista mexicana de ciencias agrícolas; 5(2); 309-315","Revista mexicana de ciencias agrícolas","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342014000200011&lang=pt" 
"S2007-09342014000200014-mex","&#039;Dalia&#039;, nueva variedad de frijol de grano tipo Flor de Junio para la región centro de México","Acosta-Gallegos, Jorge Alberto, Montero-Tavera, Víctor, Jiménez-Hernández, Yanet, Anaya-López, José Luis, Gonzalez-Chavira, Mario Martín","Revista mexicana de ciencias agrícolas; 5(2); 331-336","Revista mexicana de ciencias agrícolas","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342014000200014&lang=pt" 
"S0100-15742014000100012-scl","Publicação responsável de pesquisa: padrões internacionais para autores","Wager, Elizabeth, Kleinert, Sabine","Cadernos de Pesquisa; 44(151); 219-226","Cadernos de Pesquisa","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742014000100012&lang=pt" 
"S0100-15742014000100013-scl","Educación para la equidad y cohesión social: una tarea urgente","Donoso Díaz, Sebastián","Cadernos de Pesquisa; 44(151); 228-234","Cadernos de Pesquisa","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742014000100013&lang=pt" 
"S0100-15742014000100001-scl","Conhecimento e qualidade, políticas educacionais e editoriais","Kuhlmann Jr., Moysés","Cadernos de Pesquisa; 44(151); 10-12","Cadernos de Pesquisa","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742014000100001&lang=pt" 
"S0100-15742014000100014-scl","A polifonia da sociologia no ensino médio","Oliveira, Amurabi","Cadernos de Pesquisa; 44(151); 234-239","Cadernos de Pesquisa","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742014000100014&lang=pt" 
"S0100-15742014000100015-scl","Entre público, privado e político: avanços das mulheres e machismo velado no Brasil","Gonzalez, Débora de Fina","Cadernos de Pesquisa; 44(151); 239-243","Cadernos de Pesquisa","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742014000100015&lang=pt" 
"S0100-15742014000100016-scl","Violência, paz e direitos humanos: chamada à ação","Lira, Adriana","Cadernos de Pesquisa; 44(151); 243-247","Cadernos de Pesquisa","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742014000100016&lang=pt" 
"S0100-15742014000100008-scl","La mujer en los libros de texto de bachillerato en España","Llorent-Bedmar, Vicente, Cobano-Delgado Palma, Verónica","Cadernos de Pesquisa; 44(151); 156-175","Cadernos de Pesquisa","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742014000100008&lang=pt" 
"S0100-15742014000100009-scl","¿Qué tiene que ver el género con el parentesco?","Stolcke, Verena","Cadernos de Pesquisa; 44(151); 176-189","Cadernos de Pesquisa","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742014000100009&lang=pt" 
"S0100-15742014000100011-scl","Publicação responsável de pesquisa: padrões internacionais para editores","Kleinert, Sabine, Wager, Elizabeth","Cadernos de Pesquisa; 44(151); 203-218","Cadernos de Pesquisa","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742014000100011&lang=pt" 
"S0872-01692014000100010-prt","Mineral and Bone Disease (MBD)","Birne, Rita, Adragão, Teresa, Ferreira, Aníbal, Dickson, Jorge, Silva, Rui, Casqueiro, Ana, Oliveira, Regina, Martins, Ana Rita, Torres, João, Matias, Patrícia, Branco, Patrícia, Jorge, Cristina, Weigert, André, Bruges, Margarida, Machado, Domingos","Portuguese Journal of Nephrology &amp; Hypertension; 28(1); 69-75","Portuguese Journal of Nephrology &amp; Hypertension","Inglês","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-01692014000100010&lang=pt" 
"S0872-01692014000100011-prt","Primary hyperparathyroidism in young patients: a challenging cause of hypercalcaemia","Azevedo, Pedro, Freitas, Cristina, Garrido, Susana, Amaral, Cláudia, Pimentel, João Pedro, Carvalho, Rui, Cabrita, António","Portuguese Journal of Nephrology &amp; Hypertension; 28(1); 76-83","Portuguese Journal of Nephrology &amp; Hypertension","Inglês","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-01692014000100011&lang=pt" 
"S0872-01692014000100009-prt","Calciphylaxis: a literature review based in two case reports","Mendes, Marco, Ferreira, Ana C, Ferreira, Anibal, Nolasco, Fernando","Portuguese Journal of Nephrology &amp; Hypertension; 28(1); 61-68","Portuguese Journal of Nephrology &amp; Hypertension","Inglês","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-01692014000100009&lang=pt" 
"S0872-01692014000100008-prt","Chronic kidney disease in patients with acute myocardial infarction without ST segment elevation: therapeutic nihilism?","Santos, M. Teresa, Ferreira, Rute M., Rosario, Cristina, Carneiro, Liliana, Costa, J. Maximino, Veloso, Ana, Gavina, Cristina","Portuguese Journal of Nephrology &amp; Hypertension; 28(1); 55-60","Portuguese Journal of Nephrology &amp; Hypertension","Inglês","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-01692014000100008&lang=pt" 
"S0872-01692014000100005-prt","Is renalase a new regulator of renal dopaminergic activity?","Quelhas-Santos, Janete","Portuguese Journal of Nephrology &amp; Hypertension; 28(1); 31-39","Portuguese Journal of Nephrology &amp; Hypertension","Inglês","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-01692014000100005&lang=pt" 
"S0872-01692014000100004-prt","Use of equations for glomerular filtration rate estimation in the elderly","Malheiro, Jorge, Santos, Josefina","Portuguese Journal of Nephrology &amp; Hypertension; 28(1); 22-30","Portuguese Journal of Nephrology &amp; Hypertension","Inglês","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-01692014000100004&lang=pt" 
"S0872-01692014000100007-prt","Alternative vascular access for haemodialysis: a single centre experience in transhepatic and intracardiac catheters","Barros, Francisca, Carvalho, Berta, Vaz, Raquel, Martins, Patrícia, Neto, Ricardo, Pestana, Manuel","Portuguese Journal of Nephrology &amp; Hypertension; 28(1); 49-54","Portuguese Journal of Nephrology &amp; Hypertension","Inglês","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-01692014000100007&lang=pt" 
"S0872-01692014000100006-prt","Acute rejection during the first six-months after transplantation: temporal trends regarding risk factors and effects on graft and patient survival","Costa, Rui, Malheiro, Jorge, Santos, Clara, Fonseca, Isabel, Martins, La Salete, Pedroso, Sofia, Almeida, Manuela, Dias, Leonidio, Castro-Henriques, Antonio, Morgado, Teresa, Cabrita, Antonio","Portuguese Journal of Nephrology &amp; Hypertension; 28(1); 40-48","Portuguese Journal of Nephrology &amp; Hypertension","Inglês","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-01692014000100006&lang=pt" 
"S0872-01692014000100001-prt","Evolution of the approaches toward grading and classifying chronic changes in the renal allograft: Banff classification updates III","Mubarak, Muhammed, Kazi, Javed I.","Portuguese Journal of Nephrology &amp; Hypertension; 28(1); 5-12","Portuguese Journal of Nephrology &amp; Hypertension","Inglês","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-01692014000100001&lang=pt" 
"S0872-01692014000100003-prt","“KH4L - Kidney Health For Life” in Portugal","Vilela, Cristina, Alves, Rui, Nolasco, Fernando","Portuguese Journal of Nephrology &amp; Hypertension; 28(1); 20-21","Portuguese Journal of Nephrology &amp; Hypertension","Inglês","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-01692014000100003&lang=pt" 
"S0872-01692014000100002-prt","The Initiation of Dialysis: As Good as It Gets!","Fragoso, Andre, Silva, Ana Paula, Neves, Pedro Leao","Portuguese Journal of Nephrology &amp; Hypertension; 28(1); 13-19","Portuguese Journal of Nephrology &amp; Hypertension","Inglês","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-01692014000100002&lang=pt" 
"S1413-80502014000100002-scl","Duraçao do desemprego e transições para o emprego formal, a inatividade e a informalidade","Reis, Maurício, Aguas, Marina","Economia Aplicada; 18(1); 35-50","Economia Aplicada","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-80502014000100002&lang=pt" 
"S1413-80502014000100003-scl","The frequency domain causality analysis between energy consumption and income in the United States","Tiwari, Aviral Kumar","Economia Aplicada; 18(1); 51-67","Economia Aplicada","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-80502014000100003&lang=pt" 
