"S0100-06832004000600002-scl","Compressibilidade de um solo sob sistemas de pastejo rotacionado intensivo irrigado e não irrigado","Lima, C. L. R., Silva, A. P., Imhoff, S., Leão, T. P.","Revista Brasileira de Ciência do Solo; 28(6); 945-951","Revista Brasileira de Ciência do Solo","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832004000600002&lang=pt" 
"S0100-06832004000600004-scl","Correlação entre características de latossolos e parâmetros de equações de adsorção de cobre e zinco","Nascimento, C. W. A., Fontes, R. L. F.","Revista Brasileira de Ciência do Solo; 28(6); 965-971","Revista Brasileira de Ciência do Solo","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832004000600004&lang=pt" 
"S0100-06832004000600005-scl","Viabilidade da inoculação de soja com estirpes de Bradyrhizobium em solo inundado","Scholles, D., Vargas, L. K.","Revista Brasileira de Ciência do Solo; 28(6); 973-979","Revista Brasileira de Ciência do Solo","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832004000600005&lang=pt" 
"S0100-06832004000600006-scl","Comparação de métodos para determinação de biomassa microbiana em dois solos","Andréa, M. M., Hollweg, M. J. Moreno","Revista Brasileira de Ciência do Solo; 28(6); 981-986","Revista Brasileira de Ciência do Solo","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832004000600006&lang=pt" 
"S0100-06832004000600007-scl","Rizobactérias e promoção do crescimento de plantas cítricas","Freitas, S. S., Vildoso, C. I. Aguilar","Revista Brasileira de Ciência do Solo; 28(6); 987-994","Revista Brasileira de Ciência do Solo","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832004000600007&lang=pt" 
"S0100-06832004000600008-scl","Disponibilidade de fósforo para o arroz inundado sob efeito residual de calcário, gesso e esterco de curral aplicados na cultura do feijão","Azevedo, W. R., Faquin, V., Fernandes, L. A., Oliveira Júnior, A. C.","Revista Brasileira de Ciência do Solo; 28(6); 995-1004","Revista Brasileira de Ciência do Solo","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832004000600008&lang=pt" 
"S0100-06832004000600009-scl","Peach palm growth and heart-of-palm yield responses to liming","Bovi, M. L. A., Spiering, S. H., Saes, L. A.","Revista Brasileira de Ciência do Solo; 28(6); 1005-1012","Revista Brasileira de Ciência do Solo","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832004000600009&lang=pt" 
"S0100-06832004000600010-scl","Variabilidade espacial de atributos do solo para adoção do sistema de agricultura de precisão na cultura de cana-de-açúcar","Corá, J. E., Araujo, A. V., Pereira, G. T., Beraldo, J. M. G.","Revista Brasileira de Ciência do Solo; 28(6); 1013-1021","Revista Brasileira de Ciência do Solo","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832004000600010&lang=pt" 
"S0100-06832004000600012-scl","Erosão hídrica em um Nitossolo Háplico submetido a diferentes sistemas de manejo sob chuva simulada. I - Perdas de solo e água","Leite, D., Bertol, I., Guadagnin, J. C., Santos, E. J., Ritter, S. R.","Revista Brasileira de Ciência do Solo; 28(6); 1033-1044","Revista Brasileira de Ciência do Solo","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832004000600012&lang=pt" 
"S0100-06832004000600013-scl","Erosão hídrica em um Nitossolo Háplico submetido a diferentes sistemas de manejo sob chuva simulada. II - Perdas de nutrientes e carbono orgânico","Bertol, I., Leite, D., Guadagnin, J. C., Ritter, S. R.","Revista Brasileira de Ciência do Solo; 28(6); 1045-1054","Revista Brasileira de Ciência do Solo","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832004000600013&lang=pt" 
"S0100-06832004000600014-scl","Análise da erodibilidade de saprolitos de gnaisse","Morais, F., Bacellar, L. A. P., Sobreira, F. G.","Revista Brasileira de Ciência do Solo; 28(6); 1055-1062","Revista Brasileira de Ciência do Solo","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832004000600014&lang=pt" 
"S0100-06832004000600015-scl","Associação micorrízica e teores de nutrientes nas folhas de cupuaçuzeiro (Theobroma grandiflorum) e guaranazeiro (Paullinia cupana) de um sistema agroflorestal em Manaus, Amazonas","Oliveira, A. N., Oliveira, L. A.","Revista Brasileira de Ciência do Solo; 28(6); 1063-1068","Revista Brasileira de Ciência do Solo","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832004000600015&lang=pt" 
"S0100-06832004000600016-scl","Atributos físicos e químicos de substratos compostos por biossólidos e casca de arroz carbonizada","Guerrini, I. A., Trigueiro, R. M.","Revista Brasileira de Ciência do Solo; 28(6); 1069-1076","Revista Brasileira de Ciência do Solo","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832004000600016&lang=pt" 
"S0100-06832004000600003-scl","Adsorção de fósforo, superfície específica e atributos mineralógicos em solos desenvolvidos de rochas vulcânicas do Alto Paranaíba (MG)","Rolim Neto, F. C., Schaefer, C. E. G. R., Costa, L. M., Corrêa, M. M., Fernandes Filho, E. I., Ibraimo, M. M.","Revista Brasileira de Ciência do Solo; 28(6); 953-964","Revista Brasileira de Ciência do Solo","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832004000600003&lang=pt" 
"S0100-06832004000600011-scl","Propriedades físicas e taxa de estratificação de carbono orgânico num Latossolo Vermelho após dez anos sob dois sistemas de manejo","Tormena, C. A., Friedrich, R., Pintro, J. C., Costa, A. C. S., Fidalski, J.","Revista Brasileira de Ciência do Solo; 28(6); 1023-1031","Revista Brasileira de Ciência do Solo","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832004000600011&lang=pt" 
"S0021-75572004000800003-scl","Por que medir densidade mineral óssea em crianças e adolescentes?","Lazaretti-Castro, Marise","Jornal de Pediatria; 80(6); 439-440","Jornal de Pediatria","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572004000800003&lang=pt" 
"S0021-75572004000800001-scl","Redução de lesões por causas externas: o pediatra pode intervir?","Waksman, Renata D.","Jornal de Pediatria; 80(6); 435-436","Jornal de Pediatria","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572004000800001&lang=pt" 
"S0021-75572004000800002-scl","Terapia intensiva neonatal e pediátrica no Brasil: o ideal, o real e o possível","Barbosa, Arnaldo Prata","Jornal de Pediatria; 80(6); 437-438","Jornal de Pediatria","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572004000800002&lang=pt" 
"S0021-75572004000800005-scl","Fatores relacionados a hospitalizações por injúrias em crianças e adolescentes","Gaspar, Vera L. V., Lamounier, Joel A., Cunha, Fernando M., Gaspar, José C.","Jornal de Pediatria; 80(6); 447-452","Jornal de Pediatria","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572004000800005&lang=pt" 
"S0021-75572004000800009-scl","Seguimento nutricional de pacientes com fibrose cística: papel do aconselhamento nutricional","Adde, Fabíola V., Rodrigues, Joaquim C., Cardoso, Ary L.","Jornal de Pediatria; 80(6); 475-482","Jornal de Pediatria","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572004000800009&lang=pt" 
"S0021-75572004000800017-scl","Fibra alimentar e constipação intestinal","","Jornal de Pediatria; 80(6); 527-529","Jornal de Pediatria","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572004000800017&lang=pt" 
"S0021-75572004000800018-scl","Uso antenatal de corticosteróide e evolução clínica de recém-nascidos pré-termo","","Jornal de Pediatria; 80(6); 529-530","Jornal de Pediatria","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572004000800018&lang=pt" 
