"S0103-84782008000900025-scl","Baixa dosagem de óxido de cromo para estimativa da produção fecal em bovinos","Ribeiro Filho, Henrique Mendonça Nunes, Zimermann, Francielli Cordeiro, Kozloski, Gilberto Vilmar","Ciência Rural; 38(9); 2567-2573","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900025&lang=pt" 
"S0103-84782008000900004-scl","Adaptação e estabilidade de produção de cultivares e linhagens-elite de feijão no Estado do Rio Grande do Sul","Ribeiro, Nerinéia Dalfollo, Antunes, Irajá Ferreira, Souza, Juarez Fernandes de, Poersch, Nerison Luis","Ciência Rural; 38(9); 2434-2440","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900004&lang=pt" 
"S0103-84782008000900009-scl","Temperatura base, plastocrono e número final de nós no malmequer-do-campo","Fagundes, Joelma Dutra, Streck, Nereu Augusto, Storck, Lindolfo, Reiniger, Lia Rejane Silveira, Kruse, Nelson Diehl","Ciência Rural; 38(9); 2471-2477","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900009&lang=pt" 
"S0103-84782008000900027-scl","Composição química e digestibilidade aparente da energia e nutrientes da farinha de resíduos da indústria de filetagem de tilápias, para a tilápia do Nilo (Oreochromis niloticus)","Boscolo, Wilson Rogério, Hayashi, Carmino, Feiden, Aldi, Meurer, Fabio, Signor, Arcangelo Augusto","Ciência Rural; 38(9); 2579-2586","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900027&lang=pt" 
"S0103-84782008000900043-scl","Isolamento de espécies enterobacterianas em Stomoxys calcitrans","Castro, Bruno Gomes de, Souza, Miliane Moreira Soares de, Bittencourt, Avelino José","Ciência Rural; 38(9); 2654-2657","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900043&lang=pt" 
"S0103-84782008000900003-scl","Novas características para diferenciação de cultivares de soja pela análise discriminante","Nogueira, Ana Paula Oliveira, Sediyama, Tuneo, Cruz, Cosme Damião, Reis, Múcio Silva, Pereira, Derval Gomes, Jangarelli, Marcelo","Ciência Rural; 38(9); 2427-2433","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900003&lang=pt" 
"S0103-84782008000900022-scl","Diferentes pré-inóculos, temperaturas e tempos de incubação na produção aflatoxina B1 em arroz","Ritter, Ana Carolina, Noll, Isa Beatriz","Ciência Rural; 38(9); 2552-2556","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900022&lang=pt" 
"S0103-84782008000900021-scl","Neoplasias espontâneas em ratos Wistar de um centro de criação de animais de laboratório do Estado do Rio de Janeiro, Brasil","Trotte, Marcele Nogueira de Sousa, Menezes, Rodrigo Caldas, Tortelly, Rogerio","Ciência Rural; 38(9); 2545-2551","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900021&lang=pt" 
"S0004-282X2008000600035-scl","A contribuição de Charcot para o estudo da síndrome de Tourette","Teive, Hélio A.G., Chien, Hsin Fen, Munhoz, Renato Puppi, Barbosa, Egberto Reis","Arquivos de Neuro-Psiquiatria; 66(4); 918-921","Arquivos de Neuro-Psiquiatria","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000600035&lang=pt" 
"S0004-282X2008000600033-scl","Middle cranial fossa arachnoid cysts complicated with subdural collections","Slaviero, Felipe, Frighetto, Leonardo, Azambuja Júnior, Nério Dutra, Martins, Lucas Schirmer, Annes, Rafael D&#039;Agostini, Vanzin, José Ricardo","Arquivos de Neuro-Psiquiatria; 66(4); 913-915","Arquivos de Neuro-Psiquiatria","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000600033&lang=pt" 
"S0004-282X2008000600030-scl","Multi-lacunar strokes mimicking atypical parkinsonism with an unusual neuroimaging presentation: état criblé","Pedroso, José Luiz, Godeiro-Junior, Clecio, Felício, Andre Carvalho, Maia Jr, Antonio Carlos Martins, Aquino, Camila Catherine H., Souza, Larissa Teles de, Barsottini, Orlando Graziani Povoas","Arquivos de Neuro-Psiquiatria; 66(4); 906-907","Arquivos de Neuro-Psiquiatria","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000600030&lang=pt" 
"S0004-282X2008000600029-scl","Hashimoto&#039;s encephalopathy with clinical features similar to those of Creutzfeldt-Jakob disease","Cerqueira, Ana Cláudia Rodrigues de, Bezerra, José Marcelo Ferreira, Magalhães, Gérson Canedo de, Rozenthal, Márcia, Nardi, Antônio Egídio","Arquivos de Neuro-Psiquiatria; 66(4); 903-905","Arquivos de Neuro-Psiquiatria","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000600029&lang=pt" 
