"S0365-05962006000300002-scl","Sarcomas cutâneos primários","Fleury Jr, Luiz Fernando Fróes, Sanches Jr, José Antonio","Anais Brasileiros de Dermatologia; 81(3); 207-221","Anais Brasileiros de Dermatologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962006000300002&lang=pt" 
"S0042-96862006000600020-spa","Angel H Roffo: the forgotten father of experimental tobacco carcinogenesis","Proctor, Robert N","Bulletin of the World Health Organization; 84(6); 494-496","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000600020&lang=pt" 
"S0042-96862006000600019-spa","The suicide epidemic in Japan and strategies of depression screening for its prevention","Nakao, Mutsuhiro, Takeuchi, Takeaki","Bulletin of the World Health Organization; 84(6); 492-493","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000600019&lang=pt" 
"S0042-96862006000600018-spa","Is the current public health message on UV exposure correct?","Lucas, Robyn M, Repacholi, Mike H, McMichael, Anthony J","Bulletin of the World Health Organization; 84(6); 485-491","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000600018&lang=pt" 
"S0042-96862006000600021-spa","Krebserzeugende Tabakwirkung","Roffo, A. H.","Bulletin of the World Health Organization; 84(6); 497-502","Bulletin of the World Health Organization","Alemão","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000600021&lang=pt" 
"S0042-96862006000600024-spa","Corrigenda","","Bulletin of the World Health Organization; 84(6); 504-504","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000600024&lang=pt" 
"S0042-96862006000600006-spa","No delayed disclosure for registration of clinical trials","Fleck, Fiona","Bulletin of the World Health Organization; 84(6); 430-430","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000600006&lang=pt" 
"S0042-96862006000600007-spa","How will the platform work?","","Bulletin of the World Health Organization; 84(6); 431-431","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000600007&lang=pt" 
"S0042-96862006000600022-spa","Youth: choices and change","Byass, Peter","Bulletin of the World Health Organization; 84(6); 503-503","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000600022&lang=pt" 
"S0042-96862006000600023-spa","Evidence-based reproductive health care","Colomar, Mercedes, Cafferata, Maria Luisa, Belizán, José Miguel","Bulletin of the World Health Organization; 84(6); 504-504","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000600023&lang=pt" 
"S0042-96862006000600010-spa","Making technology serve public health","","Bulletin of the World Health Organization; 84(6); 435-436","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000600010&lang=pt" 
"S0042-96862006000600011-spa","Recent news from WHO","","Bulletin of the World Health Organization; 84(6); 436-436","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000600011&lang=pt" 
"S0042-96862006000600008-spa","In search of a sustainable philanthropy","Dyer, Owen","Bulletin of the World Health Organization; 84(6); 432-433","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000600008&lang=pt" 
"S0042-96862006000600009-spa","Global public health sees new crop of leaders","Braine, Theresa","Bulletin of the World Health Organization; 84(6); 433-434","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000600009&lang=pt" 
"S0042-96862006000600004-spa","Tuberculosis care and control","Hopewell, Philip C, Migliori, GB, Raviglione, Mario C","Bulletin of the World Health Organization; 84(6); 428-428","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000600004&lang=pt" 
"S0042-96862006000600003-spa","Safe in their hands? Engaging private providers in the quest for public health goals","Travis, Phyllida, Cassels, Andrew","Bulletin of the World Health Organization; 84(6); 427-427","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000600003&lang=pt" 
"S0042-96862006000600005-spa","Giving patients better access to trial information","Humphreys, Gary","Bulletin of the World Health Organization; 84(6); 429-431","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000600005&lang=pt" 
"S0042-96862006000600002-spa","Facing the health worker crisis in developing countries: a call for global solidarity","Smith, Mohga Kamal, Henderson-Andrade, Nina","Bulletin of the World Health Organization; 84(6); 426-426","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000600002&lang=pt" 
"S0042-96862006000600001-spa","In this month&#039;s Bulletin","","Bulletin of the World Health Organization; 84(6); 425-425","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000600001&lang=pt" 
