"S2225-20102017000100003-sza","Development and implementation of the Caribbean Laboratory Quality Management Systems Stepwise Improvement Process (LQMS-SIP) Towards Accreditation","Alemnji, George, Edghill, Lisa, Guevara, Giselle, Wallace-Sankarsingh, Sacha, Albalak, Rachel, Cognat, Sebastien, Nkengasong, John, Gabastou, Jean-Marc","African Journal of Laboratory Medicine; 6(1); 1-6","African Journal of Laboratory Medicine","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-20102017000100003&lang=pt" 
"S2222-34362017000100001-sza","Determinants of the capital structure of Portuguese firms with investments in Angola","Mota, Jorge H.F., Moreira, Antonio C.","South African Journal of Economic and Management Sciences; 20(1); 1-11","South African Journal of Economic and Management Sciences","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2222-34362017000100001&lang=pt" 
"S2222-34362017000100002-sza","Firm characteristics and excellence in integrated reporting","Buitendag, Natasha, Fortuin, Gail S., de Laan, Amber","South African Journal of Economic and Management Sciences; 20(1); 1-8","South African Journal of Economic and Management Sciences","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2222-34362017000100002&lang=pt" 
"S2305-08532017000100002-sza","Gendered character of barrenness in an African context: An African pastoral study","Baloyi, Magezi E.","In die Skriflig; 51(1); 1-7","In die Skriflig","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2305-08532017000100002&lang=pt" 
"S0259-94222017000300002-sza","Mystifying moments in Bible interpretation: An exploration of some implied backgrounds to three kinds of unusual Bible readings","Lombaard, Christo","HTS Theological Studies; 73(3); 1-8","HTS Theological Studies","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-94222017000300002&lang=pt" 
"S0259-94222017000300007-sza","&#039;... Earth&#039;s proud empires pass away…&#039;: The glorification and critique of power in songs and hymns of Imperial Britain","Tönsing, Gertrud","HTS Theological Studies; 73(3); 1-9","HTS Theological Studies","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-94222017000300007&lang=pt" 
"S2071-07632017000100001-sza","A generational perspective on work values in a South African sample","Jonck, Petronella, van der Walt, Freda, Sobayeni, Ntomzodwa C.","SA Journal of Industrial Psychology; 43(1); 1-9","SA Journal of Industrial Psychology","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2071-07632017000100001&lang=pt" 
"S0259-94222017000300006-sza","Conceptualising holiness in the Gospel of John: The mode and objectives of holiness (part 1)","van der Merwe, Dirk","HTS Theological Studies; 73(3); 1-9","HTS Theological Studies","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-94222017000300006&lang=pt" 
"S1415-47572017005010101-scl","Isolation and characterization of a promoter responsive to salt, osmotic and dehydration stresses in soybean","Conforte, Alessandra Jordano, Guimarães-Dias, Fábia, Neves-Borges, Anna Cristina, Bencke-Malato, Marta, Felix-Whipps, Durvalina, Alves-Ferreira, Márcio","Genetics and Molecular Biology; (ahead); -","Genetics and Molecular Biology","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017005010101&lang=pt" 
"S1519-70772017005000511-scl","Investor relations and information asymmetry,","Rodrigues, Sandrielem da Silva, Galdi, Fernando Caio","Revista Contabilidade &amp; Finanças; (ahead); -","Revista Contabilidade &amp; Finanças","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772017005000511&lang=pt" 
