"S0102-09352014000601891-scl","Farelo de tungue in natura ou detoxificado na alimentação de carpa húngara (Cyprinus carpio)","Pretto, A., Silva, L.P., Goulart, F.R., Battisti, E.K., Loureiro, B.B., Eggers, D.P., Pianesso, D.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(6); 1891-1900","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000601891&lang=pt" 
"S1808-16572014000400368-scl","Ocorrência de Cryptosporidium spp. em bezerros bubalinos no estado do Pará","Destro, Karen Cristiane, Viana, Rinaldo Batista, Benigno, Raimundo Nonato Moraes, Chaves, Luciara Celi da Silva, Pereira, Washington Luiz Assunção","Arquivos do Instituto Biológico; 81(4); 368-371","Arquivos do Instituto Biológico","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572014000400368&lang=pt" 
"S0102-09352014000601655-scl","Efeito da categoria reprodutiva sobre a fertilidade de éguas inseminadas com sêmen asinino diluído e resfriado a 5ºC por 12 horas de armazenamento","Rossi, R., Silva Filho, J.M., Palhares, M.S., Silva, M.M., Martins, R.A., Silva, C.L.A.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(6); 1655-1661","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000601655&lang=pt" 
"S0102-09352014000601779-scl","Porcentagem de proteína em suplementos para ovinos mantidos em pasto de capim-aruana na época seca","Ribeiro, P.P., Cabral, L.S., Zervoudakis, J.T., Miranda, L., Abreu, J. G., Rodrigues, R.C., Morenz, M.J.F., Oliveira, I.S., Toledo, C.L.B.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(6); 1779-1786","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000601779&lang=pt" 
"S0102-09352014000601718-scl","Células-tronco mononucleares associadas ao plasma rico em plaquetas na consolidação de falha óssea no cão. Estudo piloto","Barbosa, A.L.T., Schossler, J.E.W., Raiser, A.G., Serafini, G.M.C., Treichel, T.L.E., Libardoni, R.N., Marconato, F., Silveira, M.C., Graça, D.L., Martins, D.B., Zanetti, R.M., Lopes, S.T.A.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(6); 1718-1726","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000601718&lang=pt" 
"S0102-09352014000601711-scl","Prognostic markers of canine pyometra","Sant&#039;Anna, M.C., Giordano, L.G.P., Flaiban, K.K.M.C., Muller, E.E., Martins, M.I.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(6); 1711-1717","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000601711&lang=pt" 
"S0102-09352014000601865-scl","Cinética de fermentação ruminal in vitro de silagens de híbridos de sorgo","Silva, T.C., Santos, E.M., Macedo, C.H.O., Lima, M.A., Azevedo, J.A.G., Pinho, R.M.A., Perazzo, A.F., Oliveira, J.S.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(6); 1865-1873","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000601865&lang=pt" 
"S0102-09352014000601687-scl","Biomarcadores histopatológicos na espécie Hoplias malabaricus (Pisces, Osteichthyes, Erythrinidae) em uma Unidade de Conservação de São Luís (MA)","Castro, J.S., Silva, J.S., Freitas, L.C., Carvalho-Neta, R.N.F.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(6); 1687-1694","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000601687&lang=pt" 
"S0102-09352014000601822-scl","Degradabilidade ruminal in situ do sorgo grão em diferentes formas de reconstituição","Silva, J.S., Borges, A.L.C.C., Lopes, F.C.F., Silva, R.R., Vieira, A.R., Duque, A.C.A., Borges, I., Rodrigues, J.A.S., Gonçalves, L.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(6); 1822-1830","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000601822&lang=pt" 
"S0102-09352014000601847-scl","Turnover do carbono em sangue e plasma, nas fases crescimento e postura, de codornas japonesas (Coturnix coturnix japonica)","Pimenta, G.E.M., Denadai, J.C., Sartori, M.M.P., Pezzato, A.C., Sartori, J.R., Garcia, E.A., Ishizuka, A.N.D., Luiggi, F.G., Fasanaro, R., Pasquali, G.A.M., Silva, E.T., Ducatti, C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(6); 1847-1854","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000601847&lang=pt" 
"S0102-09352014000601883-scl","Cinética de degradação in situ das silagens de capim Andropogon gayanus produzidas em três idades de corte","Ribeiro Junior, G.O., Velasco, F.O., Faria Júnior, W.G., Teixeira, A.M., Machado, F.S., Magalhães, F.A., Jayme, D.G., Gonçalves, L.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(6); 1883-1890","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000601883&lang=pt" 
"S1808-16572014000400335-scl","Distribuição espacial da cigarrinha Empoasca kraemeri Ross &amp; Moore (Hemiptera: Cicadelidae) no feijão-de-corda e cálculo do número de amostras","Silva, Valéria, Lozano, Gleidson Vieira, Silva, Jefté Ferreira da, Ervino, Bleicher","Arquivos do Instituto Biológico; 81(4); 335-341","Arquivos do Instituto Biológico","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572014000400335&lang=pt" 
"S1808-16572014000400315-scl","Desafios de adequação à questão ambiental em frigorífcos na cidade de São Luís, Maranhão: diagnóstico de situação","Santos, Janayna Jordânia Nunes dos, Sousa, Isabela Christie dos Santos, Bezerra, Danilo Cutrim, Coimbra, Viviane Correia da Silva, Chaves, Nancyleni Pinto","Arquivos do Instituto Biológico; 81(4); 315-321","Arquivos do Instituto Biológico","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572014000400315&lang=pt" 
"S0102-09352014000601874-scl","Ureia e glicerina bruta como aditivos na ensilagem de cana-de-açúcar","Dias, A.M., Ítavo, L.C.V., Ítavo, C.C.B.F., Blan, L.R., Gomes, E.N.O., Soares, C.M., Leal, E.S., Nogueira, E., Coelho, E.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(6); 1874-1882","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000601874&lang=pt" 
"S0102-09352014000601813-scl","Processamento do milho para vacas leiteiras em pastejo","Moura, A.M., Freitas, H.P., Mendes, I.A.P., Reis, R.B., Saturnino, H.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(6); 1813-1821","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000601813&lang=pt" 
"S0102-09352014000601831-scl","Biomassa de Rubrivivax gelatinosus na criação de frangos de corte: desempenho animal e cor dos produtos","Avanço, S.V., Ponsano, E.H.G., Garcia Neto, M., Pinto, M.F.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(6); 1831-1838","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000601831&lang=pt" 
"S0102-09352014000601839-scl","Formulação de ração para frangos de corte de crescimento lento utilizando valores de energia metabolizável dos ingredientes determinada com linhagens de crescimento lento e rápido","Santos, F.R., Stringhini, J.H., Minafra, C.S., Almeida, R.R., Oliveira, P.R., Duarte, E.F., Silva, R.B., Café, M.B.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(6); 1839-1846","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000601839&lang=pt" 
"S0365-05962014000700001-scl","Brazilian Consensus on Photoprotection","Schalka, Sérgio, Steiner, Denise, Ravelli, Flávia Naranjo, Steiner, Tatiana, Terena, Aripuanã Cobério, Marçon, Carolina Reato, Ayres, Eloisa Leis, Addor, Flávia Alvim Sant&#039;anna, Miot, Helio Amante, Ponzio, Humberto, Duarte, Ida, Neffá, Jane, Cunha, José Antônio Jabur da, Boza, Juliana Catucci, Samorano, Luciana de Paula, Corrêa, Marcelo de Paula, Maia, Marcus, Nasser, Nilton, Leite, Olga Maria Rodrigues Ribeiro, Lopes, Otávio Sergio, Oliveira, Pedro Dantas, Meyer, Renata Leal Bregunci, Cestari, Tânia, Reis, Vitor Manoel Silva dos, Rego, Vitória Regina Pedreira de Almeida","Anais Brasileiros de Dermatologia; 89(6); 1-74","Anais Brasileiros de Dermatologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962014000700001&lang=pt" 
"S0101-47142014000200003-scl","A moda no MASP de Pietro Maria Bardi (1947-1987)","Bonadio, Maria Claudia","Anais do Museu Paulista: História e Cultura Material; 22(2); 35-70","Anais do Museu Paulista: História e Cultura Material","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-47142014000200003&lang=pt" 
