"S0034-72802015000600350-scl","Biometria ocular, estimativa matemática e variação esférica pós-facectomia","Rodrigues, Francisco Wellington, Vidal, Lucas Lauar Cortizo, Mendonça, Ana Luiza Rassi de, Silva, Rodrigo Egidio da","Revista Brasileira de Oftalmologia; 74(6); 350-354","Revista Brasileira de Oftalmologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000600350&lang=pt" 
"S0034-72802015000600403-scl","Aplicação da mitomicina C na cirurgia refrativa","Piva, Caroline, Santhiago, Marcony R.","Revista Brasileira de Oftalmologia; 74(6); 403-406","Revista Brasileira de Oftalmologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000600403&lang=pt" 
"S0034-72802015000600372-scl","Ocupational performance and quality of life: interrelationships in daily life of visual impaired individuals","Becker, Paula, Montilha, Rita de Cássia Ietto","Revista Brasileira de Oftalmologia; 74(6); 372-377","Revista Brasileira de Oftalmologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000600372&lang=pt" 
"S0034-72802015000600366-scl","A linfangiogênese em enxertos corneanos humanos que evoluem para retransplante","Ximenes, Karine Feitosa, Vasconcelos, Karla Feitosa Ximenes, Monte, Fernando Queiroz","Revista Brasileira de Oftalmologia; 74(6); 366-371","Revista Brasileira de Oftalmologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000600366&lang=pt" 
"S0718-40262015000600017-chl","La influencia del volumen hospitalario en el compromiso del margen de resección circunferencial: resultados del Dutch Surgical Colorectal Audit","Bannura C, Guillermo","Revista chilena de cirugía; 67(6); 659-659","Revista chilena de cirugía","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262015000600017&lang=pt" 
"S0034-72802015000600345-scl","Peripapillary retinal nerve fiber layer and choroidal thickness in cirrhosis patients","Akdemir, M.Orcun, Ayar, Orhan, Yazgan, Serpil, Ilikhan, Sevil Uygun, Celik, Erkan, Ugurbas, Suat H., Ustundag, Yucel","Revista Brasileira de Oftalmologia; 74(6); 345-349","Revista Brasileira de Oftalmologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000600345&lang=pt" 
"S0718-40262015000600004-chl","TRAUMA CERVICAL PENETRANTE","Castillo H, Felipe, Moraga C, Javier, Pérez C, Pablo, Borel B, Claudio","Revista chilena de cirugía; 67(6); 584-589","Revista chilena de cirugía","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262015000600004&lang=pt" 
"S0034-72802015000600386-scl","Oclusão da artéria central da retina em paciente com poliangeíte microscópica","Domingues, Cláudia Gallicchio, Capitanio, Chrissiê Fianco, Abreu, Luciana Boff de, Mattana, Marcus Vinícius","Revista Brasileira de Oftalmologia; 74(6); 386-389","Revista Brasileira de Oftalmologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000600386&lang=pt" 
"S0718-40262015000600002-chl","DIAGNÓSTICO INCIDENTAL DE MIGRACIÓN ASINTOMÁTICA DE DISPOSITIVO INTRAUTERINO","Garaycochea, Octavio, Rázuri P, César","Revista chilena de cirugía; 67(6); 580-581","Revista chilena de cirugía","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262015000600002&lang=pt" 
"S0718-40262015000600003-chl","QUISTE HIDATÍDICO ESPLÉNICO GIGANTE COMO MANIFESTACIÓN ÚNICA","Imigo G, Felipe, Castillo F, Erick, Mordojovich S, Eduardo, Corsini A, Nelson","Revista chilena de cirugía; 67(6); 582-583","Revista chilena de cirugía","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262015000600003&lang=pt" 
"S0718-40262015000600001-chl","ROL DE LA SOCIEDAD DE CIRUJANOS DE CHILE EN LA FORMACIÓN DE CIRUJANOS GENERALES","Jarufe C, Nicolás, Martínez C, Jorge","Revista chilena de cirugía; 67(6); 578-579","Revista chilena de cirugía","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262015000600001&lang=pt" 
"S0103-21002015010600001-scl","Novo estudo mostra como idosos portadores de HIV, os quais desenvolveram AIDS apresentam perdas funcionais para atividades pessoais e instrumentais cotidianas","Cruz, Gylce Eloisa Cabreira Panitz","Acta Paulista de Enfermagem; 28(5); 1-1","Acta Paulista de Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002015010600001&lang=pt" 
"S0211-57352015000400012-esp","Libros","","Revista de la Asociación Española de Neuropsiquiatría; 35(128); 845-854","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352015000400012&lang=pt" 
"S0211-57352015000400004-esp","Toma de decisión compartida y tratamiento antipsicótico: adaptación transcultural de la escala COMRADE","Gutiérrez Gea, Ángela, Morano Guillén, María, Lara Ruiz-Granados, Ignacio, Villa-Grán Moreno, José M., González Saiz, Francisco","Revista de la Asociación Española de Neuropsiquiatría; 35(128); 749-757","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352015000400004&lang=pt" 
"S0211-57352015000400006-esp","Trastorno del espectro del autismo: implicaciones en la práctica clínica de una conceptualización basada en el déficit","Jordán Cristóbal, Carlos M.","Revista de la Asociación Española de Neuropsiquiatría; 35(128); 775-787","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352015000400006&lang=pt" 
"S0103-73072015000300018-scl","Editorial","Nascimento, Lilian Cristine Ribeiro, Lins, Heloísa Andreia de Matos","Pro-Posições; 26(3); 18-21","Pro-Posições","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072015000300018&lang=pt" 
"S0211-57352015000400011-esp","Traumatismo craneoencefálico en pacientes con síndrome psicótico: etiopatogenia y estatus nosológico","Frías Ibáñez, Álvaro, Palma Sevillano, Carolina, Farriols Hernando, Nuria","Revista de la Asociación Española de Neuropsiquiatría; 35(128); 837-842","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352015000400011&lang=pt" 
"S0103-73072015000300185-scl","O lugar do pedagógico nos filmes feitos para crianças","Walter, Fernanda Omelczuk","Pro-Posições; 26(3); 185-204","Pro-Posições","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072015000300185&lang=pt" 
"S1983-30832015000400611-scl","ATIVIDADE FÍSICA E AGREGAÇÃO DE FATORES DE RISCO METABÓLICOS EM ADOLESCENTES","Silva, Michael Pereira da, Guimarães, Roseane de Fátima, Mazzardo, Oldemar, Martins, Rafael Vieira, Watanabe, Priscila Iumi, Campos, Wagner de","Revista da Educação Física / UEM; 26(4); 611-619","Revista da Educação Física / UEM","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-30832015000400611&lang=pt" 
"S1413-70542015000600604-scl","DEVELOPMENT AND CHARACTERIZATION OF A TAMBAQUI SAUSAGE","Sleder, Fernando, Cardoso, Daiane Alves, Savay-da-Silva, Luciana Kimie, Abreu, Janessa Sampaio de, Oliveira, Anderson Castro Soares de, Almeida Filho, Edivaldo Sampaio de","Ciência e Agrotecnologia; 39(6); 604-612","Ciência e Agrotecnologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542015000600604&lang=pt" 
"S0211-57352015000400010-esp","Cavum septum pellucidum gigante y deterioro cognitivo en la esquizofrenia: análisis de un caso clínico","González Moreno, Antonio, Gutiérrez Castillo, Daniel, Peñuelas Calvo, Inmaculada","Revista de la Asociación Española de Neuropsiquiatría; 35(128); 831-835","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352015000400010&lang=pt" 
"S0211-57352015000400009-esp","Detección de trastornos de la conducta alimentaria en una unidad de alcoholismo","Muñoz Algar, María José, Bernal García, Patricia, Poyo Calvo, Félix","Revista de la Asociación Española de Neuropsiquiatría; 35(128); 817-828","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352015000400009&lang=pt" 
"S1983-30832015000400557-scl","ESTUDO COMPARATIVO DO COMPORTAMENTO TÁTICO DESEMPENHADO POR JOGADORES DE FUTEBOL DAS CATEGORIAS SUB-13 E SUB-15","Costa, Bruno Rafael Simões, Almeida, Rodrigo Freire de, Costa, Israel Teoldo da","Revista da Educação Física / UEM; 26(4); 557-566","Revista da Educação Física / UEM","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-30832015000400557&lang=pt" 
"S0103-73072015000300259-scl","Uma Leitura Brasileira do Legado de Pierre Bourdieu","Oliveira, Amurabi","Pro-Posições; 26(3); 259-265","Pro-Posições","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072015000300259&lang=pt" 
