"S1853-17842016000200003-arg","La influencia del Derecho Registral Español en Argentina a la luz del Bicentenario","Latino, Jorge Alberto","Revista de historia del derecho; (52); 65-100","Revista de historia del derecho","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-17842016000200003&lang=pt" 
"S1853-17842016000200013-arg","Mendoza federal entre la autonomía provincial y el poder de Juan Manuel de Rosas","Sanjurjo, Inés Elena","Revista de historia del derecho; (52); 245-247","Revista de historia del derecho","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-17842016000200013&lang=pt" 
"S1853-17842016000200001-arg","Hacia la construcción de las Provincias: vínculos y obligaciones de Pueblo a Pueblo Los casos de Córdoba y La Rioja 1815-1824","Ayrolo, Valentina","Revista de historia del derecho; (52); 1-30","Revista de historia del derecho","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-17842016000200001&lang=pt" 
"S1850-11682016000400005-arg","Bocaditos electromagneticos","Roederer, Juan G","Anales (Asociación Física Argentina); 27(4); 134-143","Anales (Asociación Física Argentina)","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-11682016000400005&lang=pt" 
"S1850-11682016000400004-arg","Análisis de esfuerzos durante el contacto mecánico de materiales elásticos","Rodriguez, C. M, Gonzalez, F.E, Tarnowski, G.A, Bordón, H, Rosenberger, M. R, Schvezov, C. E","Anales (Asociación Física Argentina); 27(4); 127-133","Anales (Asociación Física Argentina)","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-11682016000400004&lang=pt" 
"S0718-24492016000300150-chl","Factores de Riesgo Ergonómico en Personal de Atención Hospitalaria en Chile","Bravo Carrasco, Valeria Paz, Espinoza Bustos, Jorge Rodrigo","Ciencia &amp; trabajo; 18(57); 150-153","Ciencia &amp; trabajo","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-24492016000300150&lang=pt" 
"S0718-24492016000300159-chl","Burnout em Psicólogos Hospitalares da Cidade de Uberaba","Montandon, Juliana D&#039; André, Barroso, Sabrina Martins","Ciencia &amp; trabajo; 18(57); 159-165","Ciencia &amp; trabajo","Português","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-24492016000300159&lang=pt" 
"S0718-24492016000300025-chl","SOBANE: UNA ESTRATEGIA DE GESTION DEL RIESGO A CONSIDERAR","Olivares Faúndez, Víctor","Ciencia &amp; trabajo; 18(57); 25-25","Ciencia &amp; trabajo","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-24492016000300025&lang=pt" 
"S0717-65382016000200154-chl","Fatty acid methyl esters extracted from the cuticular surface of Artemia franciscana (Kellogs, 1906) (Crustacea: Anostraca) increase the swim speed of conspecific males","Tapia, Carola, Parra, Leonardo, Mutis, Ana, Gajardo, Gonzalo, Quiroz, Andrés","Gayana (Concepción); 80(2); 154-160","Gayana (Concepción)","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382016000200154&lang=pt" 
"S0717-65382016000200201-chl","First record of Homoeographa lanceolella Ragonot (Lepidoptera: Pyralidae: Phycitinae) in Chile","VARGAS, HÉCTOR A.","Gayana (Concepción); 80(2); 201-203","Gayana (Concepción)","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382016000200201&lang=pt" 
