"S1413-77042015000100012-scl","Almas santas e aflitas nas Minas setecentistas","Martins, William de Souza","Tempo; 21(37); 88-93","Tempo","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-77042015000100012&lang=pt" 
"S1413-77042015000100005-scl","A viagem brasileira de Lorenz Simon","Miranda, Bruno Romero Ferreira, Teensma, Benjamin Nicolaas","Tempo; 21(37); 99-115","Tempo","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-77042015000100005&lang=pt" 
"S1413-77042015000100002-scl","A estiva se diverte: organizações recreativas dos trabalhadores do porto carioca nas primeiras décadas do século XX","Arantes, Erika Bastos","Tempo; 21(37); 22-41","Tempo","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-77042015000100002&lang=pt" 
"S1413-77042015000100010-scl","A presença inglesa no Império Brasileiro: a firma Edward Johnston &amp; Co. e o comércio exportador, 1842-1852","Guimarães, Carlos Gabriel","Tempo; 21(37); 187-207","Tempo","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-77042015000100010&lang=pt" 
"S1413-77042015000100007-scl","A East India Company e a perda portuguesa da Província do Norte","Nobre, Pedro","Tempo; 21(37); 134-150","Tempo","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-77042015000100007&lang=pt" 
"S1413-77042015000100009-scl","A aplicação do Código Comercial brasileiro entre 1850 e 1860: análise das evidências de um caso de falência culposa","Sonkajärvi, Hanna","Tempo; 21(37); 170-186","Tempo","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-77042015000100009&lang=pt" 
"S1413-77042015000100006-scl","Especiarias na Amazônia portuguesa: circulação vegetal e comércio atlântico no final da monarquia hispânica","Cardoso, Alírio","Tempo; 21(37); 116-133","Tempo","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-77042015000100006&lang=pt" 
"S1413-77042015000100013-scl","As diferentes facetas da Penitência","Farrell, Elaine Cristine dos Santos Pereira","Tempo; 21(37); 94-98","Tempo","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-77042015000100013&lang=pt" 
"S1413-77042015000100011-scl","Entre a elite e o povo: o sport no Rio de Janeiro do século XIX (1851-1857)","Melo, Victor Andrade de","Tempo; 21(37); 208-229","Tempo","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-77042015000100011&lang=pt" 
"S1413-77042015000100004-scl","“Turn to pollute”: poluição atmosférica e modelo de desenvolvimento no “milagre” brasileiro (1967-1973)","Duarte, Regina Horta","Tempo; 21(37); 64-87","Tempo","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-77042015000100004&lang=pt" 
"S1688-48092015000100002-ury","Actividad acaricida del aceite esencial del Azaridactha Indica en el tratamiento de la sarna demodécica del perro","Labrada Hechavarría, Y, Cordoví Velázquez, JM, Rapado Paneque, M, Perdomo Rivera, R","Veterinaria (Montevideo); 51(197); 2-2","Veterinaria (Montevideo)","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-48092015000100002&lang=pt" 
"S1688-48092015000100003-ury","Comparación de diferentes formulaciones de estradiol y de progesterona en un protocolo de sincronización de celos en vacas Holando en lactancia en un sistema pastoril; perfiles hormonales y respuesta ovárica","Martínez-Barbitta, M, González-Guasque, W, Martínez-Piña, M, Cavestany, D","Veterinaria (Montevideo); 51(197); 3-3","Veterinaria (Montevideo)","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-48092015000100003&lang=pt" 
"S1688-48092015000100001-ury","Evaluación biológica y económica de diferentes pesos al destete de corderos cruza Dorper y Southdown en pastoreo restringido sobre Trébol rojo y Achicoria","Bianchi, G, Rivero, J, Carvalho, S, Bortagaray, A, Fraga, N, Rodríguez, A","Veterinaria (Montevideo); 51(197); 1-1","Veterinaria (Montevideo)","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-48092015000100001&lang=pt" 
"S1688-48092015000100004-ury","Biofilm: importancia en la práctica veterinaria","Villamizar Rodríguez, IE","Veterinaria (Montevideo); 51(197); 4-4","Veterinaria (Montevideo)","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-48092015000100004&lang=pt" 
"S0873-65292015000200004-prt","Cultura de leitura e classe leitora em Portugal","Neves, José Soares","Sociologia, Problemas e Práticas; (78); 67-86","Sociologia, Problemas e Práticas","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65292015000200004&lang=pt" 
"S0873-65292015000200006-prt","Políticas culturais locais: contributos para um modelo de análise","Silva, Augusto Santos, Babo, Elisa Pérez, Guerra, Paula","Sociologia, Problemas e Práticas; (78); 105-124","Sociologia, Problemas e Práticas","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65292015000200006&lang=pt" 
"S0873-65292015000200007-prt","Modos de explicação","Pires, Rui Pena","Sociologia, Problemas e Práticas; (78); 125-141","Sociologia, Problemas e Práticas","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65292015000200007&lang=pt" 
"S0873-65292015000200005-prt","O impacto do PISA em Portugal através dos media","Lemos, Valter, Serrão, Anabela","Sociologia, Problemas e Práticas; (78); 87-104","Sociologia, Problemas e Práticas","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65292015000200005&lang=pt" 
"S0873-65292015000200008-prt","","Oliveira, Nuno","Sociologia, Problemas e Práticas; (78); 145-150","Sociologia, Problemas e Práticas","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65292015000200008&lang=pt" 
"S0873-65292015000200001-prt","Medicamentos, consumos de performance e culturas terapêuticas em mudança: a process of change","Lopes, Noémia Mendes, Rodrigues, Carla F.","Sociologia, Problemas e Práticas; (78); 9-28","Sociologia, Problemas e Práticas","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65292015000200001&lang=pt" 
"S0873-65292015000200002-prt","Clivagens e cumplicidades entre e a Igreja Católica e o estado: o casamento entre pessoas do mesmo sexo","Vilaça, Helena, Oliveira, Maria João","Sociologia, Problemas e Práticas; (78); 29-47","Sociologia, Problemas e Práticas","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65292015000200002&lang=pt" 
"S0873-65292015000200003-prt","Delinquência juvenil feminina a várias vozes: contributos para a construção de uma tipologia de percursos transgressivos","Duarte, Vera","Sociologia, Problemas e Práticas; (78); 49-66","Sociologia, Problemas e Práticas","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65292015000200003&lang=pt" 
"S0120-56332015000300004-col","Experiencia inicial con el retiro de electrodos de estimulación cardiaca mediante una técnica de extracción percutánea mecánica","Duque, Mauricio, Díaz, Juan C, Marín, Jorge E, Aristizábal, Julián M, Velásquez, Jorge E, Duque, Laura, Uribe, William","Revista Colombiana de Cardiología; 22(3); 136-143","Revista Colombiana de Cardiología","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-56332015000300004&lang=pt" 
"S0120-56332015000300001-col","Cardiología y nanotecnología: oportunidades y retos","Pastrana, Homero-Fernando, Avila Bernal, Alba-Graciela","Revista Colombiana de Cardiología; 22(3); 117-118","Revista Colombiana de Cardiología","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-56332015000300001&lang=pt" 
"S0120-56332015000300007-col","Síndrome de reel: una variante del síndrome de twiddler","Echeverri, Diego, Barón, Ana M., García, Juan C, Ramírez, Juan D.","Revista Colombiana de Cardiología; 22(3); 153-1552","Revista Colombiana de Cardiología","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-56332015000300007&lang=pt" 
"S0120-56332015000300003-col","Patrones de prescripción del ácido acetilsalicílico","Machado-Alba, Jorge E, García, Santiago, Calvo-Torres, L. Felipe, Bañol-Giraldo, Alejandra M","Revista Colombiana de Cardiología; 22(3); 127-135","Revista Colombiana de Cardiología","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-56332015000300003&lang=pt" 
"S0120-56332015000300002-col","Calidad de la atención de los síndromes coronarios agudos: implementación de una ruta crítica","Sprockel, John J., Diaztagle, Juan J, Chaves, Walter G., Heras, Jean C., Simón, Carlos J., Afanador, Diana C., Borrero, Gustavo A., Laguado, Marlon A., Quintero, Neikel, Saavedra, Miguel A., Hernández, José I.","Revista Colombiana de Cardiología; 22(3); 119-126","Revista Colombiana de Cardiología","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-56332015000300002&lang=pt" 
"S0120-56332015000300006-col","Ablación por radiofrecuencia de vía anómala en paciente con agenesia de la vena cava inferior","Gómez, Carlos A., Múñoz, Edison, Ramos, Luis F.","Revista Colombiana de Cardiología; 22(3); 149-152","Revista Colombiana de Cardiología","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-56332015000300006&lang=pt" 
"S0120-56332015000300005-col","Endocarditis de Libman-Sacks","Saldarriaga, Carolina, Múnera, Ana G., Duque, Mauricio","Revista Colombiana de Cardiología; 22(3); 144-148","Revista Colombiana de Cardiología","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-56332015000300005&lang=pt" 
"S1852-57682015000100007-arg","Primer registro de Mesocestoides sp. (Ciclophyllidea: Cestoda) en dos hembras de Diplolaemus leopardinus (Werner, 1898)","García, Noelia E, Ruiz Monachesi, Mario R., Paz, Marcos M.","Cuadernos de herpetología; 29(1); 81-83","Cuadernos de herpetología","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-57682015000100007&lang=pt" 
"S1852-57682015000100013-arg","","Domic, Enrique, Martínez, Jesús, Spanowicz, Mileniusz, Wallace, Robert B.","Cuadernos de herpetología; 29(1); 99-100","Cuadernos de herpetología","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-57682015000100013&lang=pt" 
"S1852-57682015000100011-arg","A new noteworthy record of Phrynops williamsi Rhodin &amp; Mittermeier (Testudines, Chelidae) in Uruguay","Borteiro, Claudio, Kolenc, Francisco, Prigioni, Carlos","Cuadernos de herpetología; 29(1); 95-96","Cuadernos de herpetología","Inglês","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-57682015000100011&lang=pt" 
"S1852-57682015000100008-arg","","Tayar Marinho do Nascimento, Bruno, Marson Moya, Guilherme, Maffei, Fábio","Cuadernos de herpetología; 29(1); 85-86","Cuadernos de herpetología","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-57682015000100008&lang=pt" 
"S1852-57682015000100012-arg","Elachistocleis matogrosso Caramaschi 2010, (Amphibia: Anura: Microhylidae) first records for Paraguay","Brouard, Jean-Paul, Manders, Ryan, Smith, Paul","Cuadernos de herpetología; 29(1); 97-98","Cuadernos de herpetología","Inglês","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-57682015000100012&lang=pt" 
