"S0188-76532011000200009-mex","¿Ilegalidad justificada?: clientelismo controlado en la administración chilena","Moriconi Bezerra, Marcelo","Perfiles latinoamericanos; 19(38); 227-247","Perfiles latinoamericanos","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-76532011000200009&lang=pt" 
"S0864-34662011000400008-cub","Método práctico para el diagnóstico y control de un brote de infección intrahospitalaria en un servicio de neonatología","Ávila González, José Luís","Revista Cubana de Salud Pública; 37(4); 442-451","Revista Cubana de Salud Pública","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662011000400008&lang=pt" 
"S0864-34662011000400012-cub","Una vez más, de la vieja a la nueva epidemiología","Ramis Andalia, Rina M","Revista Cubana de Salud Pública; 37(4); 482-488","Revista Cubana de Salud Pública","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662011000400012&lang=pt" 
"S0864-34662011000400015-cub","La protección del medio ambiente y la salud, un desafío social y ético actual","Rodríguez Morales, Vilma, Bustamante Alfonso, Leticia M, Mirabal Jean-Claude, Magdalena","Revista Cubana de Salud Pública; 37(4); 510-518","Revista Cubana de Salud Pública","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662011000400015&lang=pt" 
"S0864-34662011000400016-cub","La cooperación Cuba-Organización de las Naciones Unidas en la salud","Hadad Hadad, Jorge L","Revista Cubana de Salud Pública; 37(4); 519-526","Revista Cubana de Salud Pública","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662011000400016&lang=pt" 
"S0864-34662011000400017-cub","Estado actual de la formación de Doctores en Ciencias de la Salud","Castañeda Abascal, Ileana Elena, Castell-Florit Serrate, Pastor, Rodríguez Cabrera, Aida, Fernández Garrote, Leticia, Iglesia Duquesne, Magaly, Ochoa Alonso, Alcides","Revista Cubana de Salud Pública; 37(4); 527-536","Revista Cubana de Salud Pública","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662011000400017&lang=pt" 
"S0864-34662011000400018-cub","Desarrollo de la Misión Milagro en Venezuela","Agüin, Victor","Revista Cubana de Salud Pública; 37(4); 537-541","Revista Cubana de Salud Pública","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662011000400018&lang=pt" 
"S0864-34662011000400019-cub","Sobre la Atención Primaria de Salud","Pérez Maza, Benito","Revista Cubana de Salud Pública; 37(4); 542-545","Revista Cubana de Salud Pública","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662011000400019&lang=pt" 
"S0864-34662011000400020-cub","Sistematización: experiencias y buenas prácticas en el nivel local de salud. Guía metodológica","Terry González, Susana, González López, Roxana, Miyar Abreu, Rolando","Revista Cubana de Salud Pública; 37(4); 546-548","Revista Cubana de Salud Pública","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662011000400020&lang=pt" 
"S0864-34662011000400004-cub","Experiencia cubana en Cooperación Sur-Sur","Marimón Torres, Nestor, Martínez Cruz, Evelyn","Revista Cubana de Salud Pública; 37(4); 380-393","Revista Cubana de Salud Pública","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662011000400004&lang=pt" 
"S0864-34662011000400010-cub","Violencia y temor por la vida en mujeres jaliscienses violentadas por su pareja íntima","Estrada Pineda, Cristina, Rodríguez Díaz, Francisco Javier","Revista Cubana de Salud Pública; 37(4); 462-471","Revista Cubana de Salud Pública","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662011000400010&lang=pt" 
